node_name,load_zone,source
FO_FORMOSA11,LZ_SOUTH,Settlement_Points_03052026
FO_FORMOSA12,LZ_SOUTH,Settlement_Points_03052026
FO_FORMOSG8,LZ_SOUTH,Settlement_Points_03052026
FORMOSA_PUN1,LZ_SOUTH,Settlement_Points_03052026
FORMOSA_PUN2,LZ_SOUTH,Settlement_Points_03052026
FRNYPP_1_CCU,LZ_NORTH,Settlement_Points_03052026
BATCAVE_RN,LZ_SOUTH,Settlement_Points_03052026
INDNNWP_RN,LZ_WEST,Settlement_Points_03052026
FO_FORMOSG13,LZ_SOUTH,Settlement_Points_03052026
FO_FORMOSG14,LZ_SOUTH,Settlement_Points_03052026
FO_FORMOSG15,LZ_SOUTH,Settlement_Points_03052026
FRNYPP_2_CCU,LZ_NORTH,Settlement_Points_03052026
FRONT_EC_RN3,LZ_SOUTH,Settlement_Points_03052026
FRONT_EC_RN2,LZ_SOUTH,Settlement_Points_03052026
FRONT_EC_RN1,LZ_SOUTH,Settlement_Points_03052026
FTR_FTR_G1_4,LZ_HOUSTON,Settlement_Points_03052026
FILESSLR_PV1,LZ_NORTH,Settlement_Points_03052026
RIGGIN_UNIT1,LZ_WEST,Settlement_Points_03052026
ORIANA_RN,LZ_SOUTH,Settlement_Points_03052026
CMPD_SLR_RN,LZ_NORTH,Settlement_Points_03052026
MUSTNGCK_ALL,LZ_SOUTH,Settlement_Points_03052026
GAMBIT_RN,LZ_HOUSTON,Settlement_Points_03052026
GARC_BESS_RN,LZ_SOUTH,Settlement_Points_03052026
GBY_GT,LZ_HOUSTON,Settlement_Points_03052026
STLHS_SL_RN,LZ_NORTH,Settlement_Points_03052026
EUNICE_ALL,LZ_WEST,Settlement_Points_03052026
JKLP_SLR_RN,LZ_SOUTH,Settlement_Points_03052026
MAND_SLR_RN,LZ_NORTH,Settlement_Points_03052026
SLCN_ESS_ALL,LZ_SOUTH,Settlement_Points_03052026
CSC_CSECG1_2,LZ_WEST,Settlement_Points_03052026
GOMZ_RN,LZ_WEST,Settlement_Points_03052026
RPUBRDS_RN,LZ_NORTH,Settlement_Points_03052026
GOODWIN_ESR,LZ_SOUTH,Settlement_Points_03052026
GPASTURE_ALL,LZ_WEST,Settlement_Points_03052026
GREASWOD_ALL,LZ_WEST,Settlement_Points_03052026
GREGORY_RN,LZ_SOUTH,Settlement_Points_03052026
GRIF_TRL_RN,LZ_WEST,Settlement_Points_03052026
CRANELL_ALL,LZ_SOUTH,Settlement_Points_03052026
GUADG_CCU1,LZ_SOUTH,Settlement_Points_03052026
GUADG_CCU2,LZ_SOUTH,Settlement_Points_03052026
GUNMTN_NODE,LZ_WEST,Settlement_Points_03052026
HAMI_BESS_RN,LZ_SOUTH,Settlement_Points_03052026
HARLIN_1_RN,LZ_SOUTH,Settlement_Points_03052026
HAYSEN1_2,LZ_SOUTH,Settlement_Points_03052026
HAYSEN3_4,LZ_SOUTH,Settlement_Points_03052026
HEADCAMP_RN,LZ_WEST,Settlement_Points_03052026
DUKE_GST1CCU,LZ_SOUTH,Settlement_Points_03052026
DUKE_GT2_CCU,LZ_SOUTH,Settlement_Points_03052026
HEARN_RD_RN,LZ_SOUTH,Settlement_Points_03052026
HHOLLW4_WND1,LZ_WEST,Settlement_Points_03052026
HKSN_SLR_ALL,LZ_NORTH,Settlement_Points_03052026
PLN_ALL,LZ_SOUTH,Settlement_Points_03052026
RN_ECEC_HOLT,LZ_WEST,Settlement_Points_03052026
HOUSEMTN_RN,LZ_WEST,Settlement_Points_03052026
HNY_COMB_RN,LZ_SOUTH,Settlement_Points_03052026
FEGC_RN,LZ_HOUSTON,Settlement_Points_03052026
EBELLS_UNIT1,LZ_NORTH,Settlement_Points_03052026
HOLCOMB_RN1,LZ_SOUTH,Settlement_Points_03052026
HOPKNSLR_ALL,LZ_NORTH,Settlement_Points_03052026
GIGA_ESS_RN,LZ_SOUTH,Settlement_Points_03052026
HORSCR_RN,LZ_WEST,Settlement_Points_03052026
HRBESS_BESS,LZ_WEST,Settlement_Points_03052026
SBE_RN_1,LZ_HOUSTON,Settlement_Points_03052026
HV_BESS1_RN,LZ_HOUSTON,Settlement_Points_03052026
EIFSLR_UNIT1,LZ_NORTH,Settlement_Points_03052026
